fdate,airline,class,subclass,prc
2017-12-16,UA,Y,K,4682.0
2017-12-16,UA,Y,L,6547.0
2017-12-17,AA,C,D,11520.0
2017-12-17,AA,C,R,31790.0
2017-12-17,AA,Y,N,2429.5
2017-12-17,AA,Y,O,3796.5
2017-12-17,AA,Y,Q,3997.0
2017-12-17,AA,Y,S,2554.0
2017-12-17,DL,C,Z,15807.0
2017-12-17,DL,Y,V,3625.0
2017-12-17,DL,Y,X,2475.0
2017-12-17,MU,C,I,19139.0
2017-12-17,MU,C,Q,23893.0
2017-12-17,MU,Y,S,3825.0
2017-12-17,MU,Y,T,3850.0
2017-12-17,MU,Y,V,4133.0
2017-12-17,MU,Y,Y,500.0
2017-12-17,UA,C,P,15626.5
2017-12-17,UA,Y,G,3601.0
2017-12-17,UA,Y,K,4639.0
2017-12-17,UA,Y,L,4411.5
2017-12-17,UA,Y,Q,6378.0
2017-12-18,DL,C,I,22917.0
2017-12-18,DL,C,Z,12117.0
2017-12-18,DL,Y,T,3223.0
2017-12-18,DL,Y,V,3638.0
2017-12-18,DL,Y,X,3027.0
2017-12-18,MU,C,D,27269.0
2017-12-18,MU,C,I,19336.5
2017-12-18,MU,C,Q,22199.0
2017-12-18,MU,Y,R,4838.0
2017-12-18,MU,Y,S,3808.0
2017-12-18,MU,Y,T,3676.5
2017-12-18,MU,Y,V,4167.0
2017-12-18,UA,C,P,14349.0
2017-12-18,UA,Y,G,3675.5
2017-12-18,UA,Y,K,5071.0
2017-12-18,UA,Y,W,8860.0
2017-12-19,AA,C,D,11700.0
2017-12-19,AA,Y,N,2466.5
2017-12-19,AA,Y,O,3638.5
2017-12-19,AA,Y,Q,3727.0
2017-12-19,AA,Y,V,5124.5
2017-12-19,DL,C,Z,10030.0
2017-12-19,DL,Y,V,3623.0
2017-12-19,DL,Y,X,2422.0
2017-12-19,MU,C,I,19515.0
2017-12-19,MU,Y,S,2859.0
2017-12-19,MU,Y,T,3206.5
2017-12-19,MU,Y,V,5474.0
2017-12-19,UA,C,P,14461.0
2017-12-19,UA,Y,G,3609.0
2017-12-20,AA,C,D,17823.5
2017-12-20,AA,Y,N,2421.5
2017-12-20,AA,Y,O,3657.0
2017-12-20,AA,Y,Q,4337.0
2017-12-20,AA,Y,S,3340.0
2017-12-20,AA,Y,V,3470.0
2017-12-20,DL,C,Z,16500.0
2017-12-20,DL,Y,L,8461.0
2017-12-20,DL,Y,Q,6250.0
2017-12-20,DL,Y,T,4518.0
2017-12-20,DL,Y,V,3598.0
2017-12-20,DL,Y,X,2490.0
2017-12-20,MU,C,I,15440.0
2017-12-20,MU,C,Q,25790.0
2017-12-20,MU,Y,L,5904.0
2017-12-20,MU,Y,N,5729.5
2017-12-20,MU,Y,S,3843.0
2017-12-20,MU,Y,T,3847.0
2017-12-20,MU,Y,V,3716.0
2017-12-20,MU,Y,Z,4438.0
2017-12-20,UA,C,D,27421.0
2017-12-20,UA,C,P,9648.0
2017-12-20,UA,C,Z,26289.0
2017-12-20,UA,Y,G,3615.0
2017-12-20,UA,Y,K,4329.0
2017-12-20,UA,Y,T,5962.5
2017-12-21,AA,C,D,11338.0
2017-12-21,AA,C,I,16566.0
2017-12-21,AA,Y,N,2565.0
2017-12-21,AA,Y,O,3657.0
2017-12-21,AA,Y,Q,4314.5
2017-12-21,AA,Y,S,2532.0
2017-12-21,AA,Y,V,6559.0
2017-12-21,DL,C,I,21052.5
2017-12-21,DL,C,Z,17190.0
2017-12-21,DL,Y,L,5796.0
2017-12-21,DL,Y,M,12741.0
2017-12-21,DL,Y,T,5079.0
2017-12-21,DL,Y,V,3576.0
2017-12-21,DL,Y,X,2448.0
2017-12-21,MU,C,I,19511.0
2017-12-21,MU,Y,N,7669.0
2017-12-21,MU,Y,R,5652.0
2017-12-21,MU,Y,S,3323.0
2017-12-21,MU,Y,T,3853.0
2017-12-21,MU,Y,V,3529.0
2017-12-21,UA,C,C,77369.0
2017-12-21,UA,C,P,17736.5
2017-12-21,UA,C,Z,21214.0
2017-12-21,UA,Y,G,3615.0
2017-12-21,UA,Y,K,4367.0
2017-12-21,UA,Y,L,4382.0
2017-12-21,UA,Y,S,7300.0
2017-12-21,UA,Y,V,5581.0
2017-12-22,AA,C,D,18754.0
2017-12-22,AA,C,R,26695.0
2017-12-22,AA,Y,L,3846.5
2017-12-22,AA,Y,M,4573.0
2017-12-22,AA,Y,N,4160.0
2017-12-22,AA,Y,O,3786.5
2017-12-22,AA,Y,Q,4324.5
2017-12-22,AA,Y,S,2461.0
2017-12-22,AA,Y,V,4143.5
2017-12-22,DL,C,Z,14983.0
2017-12-22,DL,S,W,7945.5
2017-12-22,DL,Y,L,12145.0
2017-12-22,DL,Y,Q,11385.0
2017-12-22,DL,Y,T,5062.0
2017-12-22,DL,Y,U,5895.0
2017-12-22,DL,Y,V,3661.0
2017-12-22,DL,Y,X,3270.0
2017-12-22,MU,C,I,17488.5
2017-12-22,MU,C,Q,8984.0
2017-12-22,MU,Y,L,11474.0
2017-12-22,MU,Y,N,5238.0
2017-12-22,MU,Y,R,7591.0
2017-12-22,MU,Y,S,4120.5
2017-12-22,MU,Y,T,3851.5
2017-12-22,MU,Y,V,4598.0
2017-12-22,UA,C,P,10954.0
2017-12-22,UA,Y,G,3735.0
2017-12-22,UA,Y,K,4264.5
2017-12-22,UA,Y,L,4753.0
2017-12-22,UA,Y,S,6656.5
2017-12-22,UA,Y,T,4957.0
2017-12-23,AA,Y,O,3604.0
2017-12-23,DL,C,I,20665.0
2017-12-23,DL,C,Z,11648.0
2017-12-23,DL,Y,T,4649.0
2017-12-23,DL,Y,U,4329.5
2017-12-23,DL,Y,V,3677.0
2017-12-23,DL,Y,X,2468.0
2017-12-23,MU,C,D,17612.0
2017-12-23,MU,C,I,19519.0
2017-12-23,MU,C,Q,17908.0
2017-12-23,MU,Y,R,6096.0
2017-12-23,MU,Y,S,5419.0
2017-12-23,MU,Y,T,3845.0
2017-12-23,MU,Y,V,4373.0
2017-12-23,MU,Y,Z,4209.0
2017-12-23,UA,C,P,13352.0
2017-12-23,UA,C,Z,26715.0
2017-12-23,UA,Y,G,3605.0
2017-12-23,UA,Y,K,4223.0
2017-12-23,UA,Y,L,3310.0
2017-12-23,UA,Y,V,5538.0
2017-12-24,DL,C,Z,12709.0
2017-12-24,DL,Y,Q,13015.0
2017-12-24,DL,Y,V,3630.0
2017-12-24,DL,Y,X,2518.0
2017-12-24,MU,C,I,19065.0
2017-12-24,MU,Y,R,8115.0
2017-12-24,MU,Y,S,4041.0
2017-12-24,MU,Y,T,3590.0
2017-12-24,MU,Y,V,6482.0
2017-12-24,UA,C,P,12603.0
2017-12-24,UA,Y,G,3632.0
2017-12-24,UA,Y,K,4989.0
2017-12-24,UA,Y,L,5811.0
2017-12-25,DL,Y,X,8478.0
2017-12-25,MU,C,I,23890.0
2017-12-25,MU,Y,S,4618.0
2017-12-25,MU,Y,T,3832.0
2017-12-25,MU,Y,V,5516.0
2017-12-25,UA,C,P,14558.0
2017-12-25,UA,Y,G,3679.5
2017-12-25,UA,Y,L,4124.0
2017-12-26,DL,C,Z,11657.5
2017-12-26,DL,Y,T,4019.5
2017-12-26,DL,Y,V,3626.0
2017-12-26,DL,Y,X,2430.0
2017-12-26,MU,C,I,19526.0
2017-12-26,MU,Y,S,5567.0
2017-12-26,MU,Y,T,3850.0
2017-12-26,MU,Y,V,5422.0
2017-12-26,UA,C,P,12344.0
2017-12-26,UA,Y,G,3601.0
2017-12-26,UA,Y,K,2853.0
2017-12-26,UA,Y,Y,42774.0
2017-12-27,AA,C,D,12107.0
2017-12-27,AA,C,I,12116.0
2017-12-27,AA,Y,N,2536.0
2017-12-27,AA,Y,O,3716.0
2017-12-27,AA,Y,Q,3862.5
2017-12-27,AA,Y,S,7678.0
2017-12-27,AA,Y,V,2413.0
2017-12-27,DL,C,Z,11570.0
2017-12-27,DL,Y,H,6160.0
2017-12-27,DL,Y,V,3568.5
2017-12-27,DL,Y,X,2442.0
2017-12-27,MU,C,I,15442.0
2017-12-27,MU,F,P,89909.0
2017-12-27,MU,Y,R,4615.0
2017-12-27,MU,Y,S,3808.0
2017-12-27,MU,Y,T,3297.5
2017-12-27,UA,C,P,12313.0
2017-12-27,UA,Y,G,3620.5
2017-12-27,UA,Y,L,13138.0
2017-12-28,AA,C,D,12842.0
2017-12-28,AA,C,I,12118.0
2017-12-28,AA,Y,N,2413.0
2017-12-28,AA,Y,O,3750.0
2017-12-28,AA,Y,Q,5933.0
2017-12-28,AA,Y,V,2743.0
2017-12-28,DL,C,Z,19920.0
2017-12-28,DL,Y,T,3056.0
2017-12-28,DL,Y,U,3641.0
2017-12-28,DL,Y,V,3615.0
2017-12-28,DL,Y,X,2464.0
2017-12-28,MU,C,I,18534.0
2017-12-28,MU,Y,N,5354.0
2017-12-28,MU,Y,S,3808.0
2017-12-28,MU,Y,T,3204.0
2017-12-28,MU,Y,V,4133.0
2017-12-28,MU,Y,Z,5759.0
2017-12-28,UA,C,P,21361.0
2017-12-28,UA,Y,G,3615.0
2017-12-28,UA,Y,K,4959.5
2017-12-29,DL,C,Z,11470.0
2017-12-29,DL,Y,L,4449.0
2017-12-29,DL,Y,T,4136.0
2017-12-29,DL,Y,U,6236.0
2017-12-29,DL,Y,V,3638.0
2017-12-29,DL,Y,X,2610.5
2017-12-29,MU,C,I,18294.0
2017-12-29,MU,C,Q,2340.0
2017-12-29,MU,Y,K,8213.0
2017-12-29,MU,Y,L,8560.0
2017-12-29,MU,Y,R,5848.0
2017-12-29,MU,Y,S,6701.0
2017-12-29,MU,Y,T,3148.0
2017-12-29,MU,Y,V,4782.0
2017-12-29,MU,Y,Z,2443.0
2017-12-29,UA,C,P,12603.0
2017-12-29,UA,Y,G,3592.0
2017-12-29,UA,Y,K,4246.0
2017-12-29,UA,Y,T,5507.0
2017-12-30,AA,C,D,13833.0
2017-12-30,AA,C,I,15366.5
2017-12-30,AA,Y,H,10561.0
2017-12-30,AA,Y,K,2974.5
2017-12-30,AA,Y,L,3392.0
2017-12-30,AA,Y,N,4806.5
2017-12-30,AA,Y,O,3641.0
2017-12-30,AA,Y,Q,3796.0
2017-12-30,AA,Y,S,2413.0
2017-12-30,AA,Y,V,3231.0
2017-12-30,DL,Y,K,7517.0
2017-12-30,DL,Y,L,4063.0
2017-12-30,DL,Y,Q,6151.0
2017-12-30,DL,Y,T,4091.0
2017-12-30,DL,Y,U,3264.0
2017-12-30,DL,Y,V,3705.5
2017-12-30,DL,Y,X,2452.0
2017-12-30,MU,C,I,16255.0
2017-12-30,MU,C,Q,23893.0
2017-12-30,MU,Y,K,9873.0
2017-12-30,MU,Y,L,5929.0
2017-12-30,MU,Y,R,7510.0
2017-12-30,MU,Y,S,4125.5
2017-12-30,MU,Y,T,3853.0
2017-12-30,MU,Y,V,4113.0
2017-12-30,MU,Y,Z,5208.0
2017-12-30,UA,C,P,16079.5
2017-12-30,UA,Y,G,2650.5
2017-12-30,UA,Y,K,4124.0
2017-12-30,UA,Y,L,3778.0
2017-12-30,UA,Y,S,7309.0
2017-12-30,UA,Y,T,3799.0
2017-12-31,AA,C,D,15522.0
2017-12-31,AA,C,I,12114.0
2017-12-31,AA,Y,H,4909.0
2017-12-31,AA,Y,K,4919.5
2017-12-31,AA,Y,L,3781.0
2017-12-31,AA,Y,N,2484.0
2017-12-31,AA,Y,O,4016.0
2017-12-31,AA,Y,S,2413.0
2017-12-31,AA,Y,V,4016.0
2017-12-31,DL,C,Z,15743.5
2017-12-31,DL,S,W,5518.0
2017-12-31,DL,Y,H,6229.5
2017-12-31,DL,Y,K,6948.0
2017-12-31,DL,Y,L,4484.5
2017-12-31,DL,Y,T,3336.0
2017-12-31,DL,Y,U,3386.0
2017-12-31,DL,Y,V,3937.0
2017-12-31,DL,Y,X,2468.0
2017-12-31,MU,C,I,12827.0
2017-12-31,MU,C,Q,25924.5
2017-12-31,MU,Y,K,15354.0
2017-12-31,MU,Y,L,4847.5
2017-12-31,MU,Y,N,4933.0
2017-12-31,MU,Y,R,7048.5
2017-12-31,MU,Y,S,4985.5
2017-12-31,MU,Y,V,5575.0
2017-12-31,MU,Y,Z,6211.0
2017-12-31,UA,C,P,9629.5
2017-12-31,UA,C,Z,28831.0
2017-12-31,UA,Y,G,2581.0
2017-12-31,UA,Y,K,4352.0
2017-12-31,UA,Y,L,3500.0
2017-12-31,UA,Y,S,5023.5
2017-12-31,UA,Y,T,3727.0
2017-12-31,UA,Y,V,5776.0
