fdate,order_date,airline,class,subclass,prc
2017-12-05,2017-10-25,AA,C,I,12331.0
2017-12-05,2017-11-22,AA,Y,N,7447.0
2017-12-05,2017-12-05,AA,Y,N,2351.0
2017-12-05,2017-07-27,AA,Y,O,3682.0
2017-12-05,2017-11-22,AA,Y,O,3879.0
2017-12-05,2017-11-28,AA,Y,O,5133.0
2017-12-05,2017-12-01,AA,Y,O,3691.0
2017-12-05,2017-12-02,AA,Y,O,3911.0
2017-12-05,2017-12-04,AA,Y,O,3646.0
2017-12-05,2017-09-27,DL,C,Z,14344.0
2017-12-05,2017-11-22,DL,C,Z,10171.0
2017-12-05,2017-12-01,DL,C,Z,10390.0
2017-12-05,2017-12-03,DL,C,Z,24062.0
2017-12-05,2017-12-05,DL,C,Z,10391.0
2017-12-05,2017-11-02,DL,S,W,7274.0
2017-12-05,2017-11-08,DL,Y,T,2435.0
2017-12-05,2017-08-20,DL,Y,V,3596.0
2017-12-05,2017-09-18,DL,Y,V,3508.0
2017-12-05,2017-09-21,DL,Y,V,3426.5
2017-12-05,2017-09-27,DL,Y,V,5069.0
2017-12-05,2017-10-26,DL,Y,V,3371.0
2017-12-05,2017-10-30,DL,Y,V,3945.0
2017-12-05,2017-10-31,DL,Y,V,4031.0
2017-12-05,2017-11-07,DL,Y,V,3429.0
2017-12-05,2017-11-18,DL,Y,V,6914.0
2017-12-05,2017-11-22,DL,Y,V,3610.0
2017-12-05,2017-11-29,DL,Y,V,3651.0
2017-12-05,2017-11-05,DL,Y,X,2235.0
2017-12-05,2017-11-26,DL,Y,X,2199.0
2017-12-05,2017-11-28,DL,Y,X,2968.0
2017-12-05,2017-12-01,DL,Y,X,2611.0
2017-12-05,2017-12-05,DL,Y,X,2726.0
2017-12-05,2017-10-28,MU,C,I,29207.0
2017-12-05,2017-11-14,MU,C,I,25793.0
2017-12-05,2017-12-01,MU,C,I,15022.0
2017-12-05,2017-12-03,MU,C,I,16667.0
2017-12-05,2017-11-06,MU,Y,S,2775.0
2017-12-05,2017-08-13,MU,Y,T,3943.0
2017-12-05,2017-09-14,MU,Y,T,4585.0
2017-12-05,2017-09-21,MU,Y,T,2829.0
2017-12-05,2017-10-02,MU,Y,T,3741.0
2017-12-05,2017-10-04,MU,Y,T,3957.0
2017-12-05,2017-10-10,MU,Y,T,3853.0
2017-12-05,2017-10-11,MU,Y,T,3033.0
2017-12-05,2017-10-15,MU,Y,T,3849.0
2017-12-05,2017-10-19,MU,Y,T,3850.0
2017-12-05,2017-10-31,MU,Y,T,3283.0
2017-12-05,2017-11-10,MU,Y,T,3918.0
2017-12-05,2017-11-22,MU,Y,T,3652.0
2017-12-05,2017-11-27,MU,Y,T,3242.0
2017-12-05,2017-11-29,MU,Y,T,5320.0
2017-12-05,2017-11-30,MU,Y,V,4494.0
2017-12-05,2017-12-02,MU,Y,V,8920.0
2017-12-05,2017-11-23,UA,C,P,10455.0
2017-12-05,2017-11-28,UA,C,P,21993.0
2017-12-05,2017-12-05,UA,C,P,13420.0
2017-12-05,2017-09-28,UA,Y,G,3694.0
2017-12-05,2017-11-07,UA,Y,G,3613.0
2017-12-05,2017-11-14,UA,Y,G,2425.0
2017-12-05,2017-11-20,UA,Y,G,3557.0
2017-12-05,2017-11-22,UA,Y,G,7523.0
2017-12-05,2017-11-24,UA,Y,G,3747.0
2017-12-05,2017-12-01,UA,Y,G,3005.0
2017-12-05,2017-12-04,UA,Y,G,4683.0
2017-12-05,2017-10-17,UA,Y,L,6609.0
2017-12-06,2017-09-22,AA,C,D,19804.0
2017-12-06,2017-11-28,AA,Y,N,2498.0
2017-12-06,2017-12-03,AA,Y,N,2520.0
2017-12-06,2017-12-05,AA,Y,N,2430.0
2017-12-06,2017-09-21,AA,Y,O,3468.0
2017-12-06,2017-10-27,AA,Y,O,5395.0
2017-12-06,2017-11-04,AA,Y,O,8465.0
2017-12-06,2017-11-23,AA,Y,O,5546.0
2017-12-06,2017-11-25,AA,Y,O,4055.0
2017-12-06,2017-11-26,AA,Y,O,3592.0
2017-12-06,2017-11-29,AA,Y,O,3981.0
2017-12-06,2017-12-01,AA,Y,O,4896.0
2017-12-06,2017-12-02,AA,Y,O,3967.0
2017-12-06,2017-11-25,AA,Y,Q,3904.0
2017-12-06,2017-11-26,AA,Y,Q,5946.0
2017-12-06,2017-11-10,AA,Y,S,2351.0
2017-12-06,2017-11-21,DL,Y,T,5307.0
2017-12-06,2017-11-14,DL,Y,U,6903.0
2017-12-06,2016-12-08,MU,C,I,41159.0
2017-12-06,2017-07-21,MU,C,I,20264.0
2017-12-06,2017-11-10,MU,C,I,12838.5
2017-12-06,2017-11-23,MU,C,I,31493.0
2017-12-06,2017-11-30,MU,C,I,11590.0
2017-12-06,2017-12-02,MU,C,I,16667.0
2017-12-06,2017-11-01,MU,Y,S,7593.0
