date,arrive,sh_order,sh_PV,sh_UV,sh_single_avg_px,sh_round_avg_px,sh_single_px_mid,sh_round_px_mid,bj_order,bj_PV,bj_UV,bj_single_avg_px,bj_round_avg_px,bj_single_px_mid,bj_round_px_mid
2016/6/1,одмЧрд║╓╩Пе╚бЁбЁ,124,2247,997,15200 ,20725 ,11426 ,16698 ,105,1896,832,,8100 ,,16698 
2016/6/2,одмЧрд║╓╩Пе╚бЁбЁ,117,2599,1055,,28914 ,,25881 ,112,1801,852,10231 ,7746 ,9251 ,25881 
2016/6/3,одмЧрд║╓╩Пе╚бЁбЁ,118,2380,1020,,23102 ,,21753 ,102,1444,777,,10375 ,,21753 
2016/6/4,одмЧрд║╓╩Пе╚бЁбЁ,104,1864,893,,24931 ,,20719 ,116,1410,714,,,,20719 
2016/6/5,одмЧрд║╓╩Пе╚бЁбЁ,115,2000,960,4865 ,21820 ,4865 ,18024 ,114,1482,762,,28670 ,,18024 
2016/6/6,одмЧрд║╓╩Пе╚бЁбЁ,111,2216,1039,4631 ,12458 ,4631 ,12187 ,107,1968,888,,14165 ,,12187 
2016/6/7,одмЧрд║╓╩Пе╚бЁбЁ,123,2457,1118,10413 ,10991 ,9690 ,9686 ,102,1833,852,14213 ,15888 ,14213 ,9686 
2016/6/8,одмЧрд║╓╩Пе╚бЁбЁ,114,2575,1068,,24330 ,,15612 ,106,1501,786,8881 ,10269 ,8881 ,15612 
2016/6/9,одмЧрд║╓╩Пе╚бЁбЁ,126,1852,934,,14482 ,,16025 ,104,1263,685,,,,16025 
2016/6/10,одмЧрд║╓╩Пе╚бЁбЁ,123,2224,965,,23383 ,,16397 ,104,1407,691,,,,16397 
2016/6/11,одмЧрд║╓╩Пе╚бЁбЁ,123,2095,954,,16608 ,,15612 ,117,1372,733,6537 ,7945 ,6537 ,15612 
2016/6/12,одмЧрд║╓╩Пе╚бЁбЁ,112,2983,1231,4773 ,17864 ,4773 ,15520 ,105,1810,924,,,,15520 
2016/6/13,одмЧрд║╓╩Пе╚бЁбЁ,139,2737,1187,11858 ,45079 ,11858 ,43670 ,115,2042,960,,20647 ,,43670 
2016/6/14,одмЧрд║╓╩Пе╚бЁбЁ,119,2553,1130,4630 ,13809 ,4630 ,11533 ,113,1879,916,,12788 ,,11533 
2016/6/15,одмЧрд║╓╩Пе╚бЁбЁ,117,2312,1079,5432 ,21459 ,5432 ,16525 ,108,1835,859,,17552 ,,16525 
2016/6/16,одмЧрд║╓╩Пе╚бЁбЁ,119,2204,1026,10025 ,11745 ,10025 ,7501 ,112,1991,863,,14649 ,,7501 
2016/6/17,одмЧрд║╓╩Пе╚бЁбЁ,114,2050,974,,16398 ,,14442 ,104,1673,790,9397 ,7159 ,4290 ,14442 
2016/6/18,одмЧрд║╓╩Пе╚бЁбЁ,114,1737,887,4877 ,16948 ,4782 ,15177 ,115,1411,705,26362 ,13626 ,26362 ,15177 
2016/6/19,одмЧрд║╓╩Пе╚бЁбЁ,107,1932,939,18274 ,30330 ,18274 ,17782 ,110,1351,716,,,,17782 
2016/6/20,одмЧрд║╓╩Пе╚бЁбЁ,108,2566,1126,17977 ,13758 ,17977 ,13763 ,110,1793,877,,12904 ,,13763 
2016/6/21,одмЧрд║╓╩Пе╚бЁбЁ,122,2445,1083,11951 ,16213 ,11951 ,15467 ,117,1779,857,,7873 ,,15467 
2016/6/22,одмЧрд║╓╩Пе╚бЁбЁ,121,2616,1178,13649 ,33443 ,11454 ,18992 ,106,1991,922,,12971 ,,18992 
2016/6/23,одмЧрд║╓╩Пе╚бЁбЁ,123,2405,1099,23207 ,19558 ,12917 ,15676 ,106,1845,926,5513 ,32413 ,5513 ,15676 
2016/6/24,одмЧрд║╓╩Пе╚бЁбЁ,119,2192,1028,14919 ,16428 ,10775 ,15596 ,113,1665,781,,19218 ,,15596 
2016/6/25,одмЧрд║╓╩Пе╚бЁбЁ,123,1973,951,,23055 ,,16791 ,107,1349,679,,11436 ,,16791 
2016/6/26,одмЧрд║╓╩Пе╚бЁбЁ,132,2156,1000,,20577 ,,19116 ,106,1416,711,,15849 ,,19116 
